axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
10354061,0.0025,2023-10-26,Mavis,Gill,6,Peace Maker,Eggshell,Balloon,Hare,Bird,Aquatic,0x200000000104a242082208420842208410a42908082220820822080c00802008
11047333,0.0036,2023-10-25,Mavis,Owl,1,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x2000000001208232082209040842108408651086082208820823284a008020c4
9947605,0.0030,2023-10-25,Robin,Owl,3,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000420724208a2110a084210840862214a082209480821284a0080210a
10595919,0.0040,2023-10-24,Lucas,Curly,4,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x2000000008208422084210020842108408a52082082208820822114c00802008
10992088,0.0025,2023-10-24,Mavis,Curly,2,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000b208222082208820841108408a22886082208460822088200840808
9939908,0.0040,2023-10-23,Mavis,Owl,0,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000a2cb222082020840845284a08622042082320c80822214a00802008
10039860,0.0039,2023-10-23,Mavis,Owl,3,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000824932308210842084228840862088608220882082408c200831146
11287677,0.0050,2023-10-23,Telescope,Gill,1,Peace Maker,Eggshell,Balloon,Hare,Aquatic,Aquatic,0x20000000092c944410a208820842108410a22902082208820822080800802008
10595919,0.0030,2023-10-23,Lucas,Curly,4,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x2000000008208422084210020842108408a52082082208820822114c00802008
11256369,0.0032,2023-10-23,Mavis,Nimo,3,Peace Maker,Eggshell,Balloon,Hare,Bird,Aquatic,0x20000000092c934408242882084210841022290a082208820822088200802008
10039860,0.0022,2023-10-23,Mavis,Owl,3,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000824932308210842084228840862088608220882082408c200831146
10640808,0.0033,2023-10-22,Little Owl,Early Bird,4,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x2000000004104222088220820842108408412086082208880825088c00802008
10788171,0.0034,2023-10-22,Gero,Early Bird,3,Peace Maker,Eggshell,Balloon,Hare,Aquatic,Bird,0x200000000920822110820884084310840845190c082209480822088200802008
10039860,0.0040,2023-10-22,Mavis,Owl,3,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000824932308210842084228840862088608220882082408c200831146
11196989,0.0042,2023-10-21,Mavis,Pink Cheek,3,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000a108422082420820842108408221906082208820822088200802008
11230289,0.0036,2023-10-20,Mavis,Seaslug,4,Peace Maker,Eggshell,Balloon,Hare,Bird,Aquatic,0x2000000008107232082420820842108410c20902082218820824188200820882
10580765,0.0040,2023-10-19,Mavis,Peace Maker,3,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000820822208220888084210840882284c082220820820208200821808
10272597,0.0020,2023-10-19,Mavis,Pink Cheek,4,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000b2082320822088a0843088a08220882082208c20822210200811008
10039860,0.0027,2023-10-18,Mavis,Owl,3,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000824932308210842084228840862088608220882082408c200831146
11070765,0.0042,2023-10-17,Mavis,Curly,0,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x2000000004104222082209420844108a08a208040823094808220882008020c4
10029402,0.0050,2023-10-17,Gero,Peace Maker,4,Peace Maker,Eggshell,Balloon,Hare,Aquatic,Bird,0x200000000930802210800942084210420885108208220902082208820080204c
10449986,0.0052,2023-10-17,Mavis,Peace Maker,4,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x20000000092881220822088a084210840882288608220806082208840080200a
11230289,0.0020,2023-10-17,Mavis,Seaslug,4,Peace Maker,Eggshell,Balloon,Hare,Bird,Aquatic,0x2000000008107232082420820842108410c20902082218820824188200820882
11287684,0.0038,2023-10-17,Lucas,Peace Maker,1,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000a20822208450882084210c40882088a082208820822088200812008
11250774,0.0037,2023-10-17,Mavis,Curly,1,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000820b2220822090a084210c408a3188a082208820825084200802008
11313715,0.0042,2023-10-17,Sleepless,Tiny Fan,1,Peace Maker,Eggshell,Balloon,Hare,Aquatic,Aquatic,0x200000000a20b3221024088408421084104228840823288208241082008020ca
10580765,0.0035,2023-10-17,Mavis,Peace Maker,3,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000820822208220888084210840882284c082220820820208200821808
11250774,0.0035,2023-10-17,Mavis,Curly,1,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000820b2220822090a084210c408a3188a082208820825084200802008
11313715,0.0040,2023-10-16,Sleepless,Tiny Fan,1,Peace Maker,Eggshell,Balloon,Hare,Aquatic,Aquatic,0x200000000a20b3221024088408421084104228840823288208241082008020ca
10161716,0.0025,2023-10-15,Mavis,Early Bird,0,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000820c422082010820842108408432884082310860822088800802086
10161716,0.0009,2023-10-15,Mavis,Early Bird,0,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000820c422082010820842108408432884082310860822088800802086
10967829,0.0042,2023-10-14,Mavis,Owl,3,Peace Maker,Eggshell,Balloon,Hare,Bird,Bird,0x200000000420b222082208820842108408621886082208840822088200841008
11243160,0.0036,2023-10-14,Little Owl,Nimo,2,Peace Maker,Eggshell,Balloon,Hare,Bird,Aquatic,0x200000000a20b42208842082084210841025308208220882082208820080210c
